id,guindaste_id,regiao,preco
2013,79,sul-sudeste,130410.00
2014,79,rs-com-ie,130410.00
2015,79,rs-sem-ie,130410.00
2016,61,norte-nordeste,117000.00
2017,61,centro-oeste,109764.00
2018,61,sul-sudeste,117000.00
2019,61,rs-com-ie,117000.00
2020,61,rs-sem-ie,117000.00
2021,78,norte-nordeste,109680.00
2022,78,centro-oeste,102882.00
2023,78,sul-sudeste,109680.00
2024,78,rs-com-ie,109680.00
2025,78,rs-sem-ie,109680.00
2026,77,norte-nordeste,110543.00
2027,77,centro-oeste,103778.00
2028,77,sul-sudeste,110543.00
2029,77,rs-com-ie,110543.00
2030,77,rs-sem-ie,110543.00
2031,76,norte-nordeste,105378.00
2032,76,centro-oeste,98929.00
2033,76,sul-sudeste,105378.00
2034,76,rs-com-ie,105378.00
2035,76,rs-sem-ie,105378.00
2036,75,norte-nordeste,96530.00
2037,75,centro-oeste,90546.00
2038,75,sul-sudeste,96530.00
2039,75,rs-com-ie,96530.00
2040,75,rs-sem-ie,96530.00
2041,74,norte-nordeste,89322.00
2042,74,centro-oeste,83832.00
2043,74,sul-sudeste,89322.00
2044,74,rs-com-ie,89322.00
2045,74,rs-sem-ie,89322.00
2046,52,norte-nordeste,108738.00
2047,52,centro-oeste,102000.00
2048,52,sul-sudeste,108738.00
2049,52,rs-com-ie,108738.00
2050,52,rs-sem-ie,108738.00
2051,51,norte-nordeste,103518.00
2052,51,centro-oeste,97101.00
2053,51,sul-sudeste,103518.00
2054,51,rs-com-ie,103518.00
2055,51,rs-sem-ie,103518.00
2056,90,norte-nordeste,93265.00
2057,90,centro-oeste,87484.50
2058,90,sul-sudeste,93265.00
2059,90,rs-com-ie,93265.00
2060,90,rs-sem-ie,93265.00
2061,50,norte-nordeste,84320.00
2062,50,centro-oeste,79093.00
2063,50,sul-sudeste,84320.00
2064,50,rs-com-ie,84320.00
2065,50,rs-sem-ie,84320.00
2066,49,norte-nordeste,100411.00
2067,49,centro-oeste,94187.00
2068,49,sul-sudeste,100411.00
2069,49,rs-com-ie,100411.00
2070,49,rs-sem-ie,100411.00
2071,48,norte-nordeste,82371.00
2072,48,centro-oeste,77266.00
2073,48,sul-sudeste,82371.00
2074,48,rs-com-ie,82371.00
2075,48,rs-sem-ie,82371.00
2076,71,norte-nordeste,88835.00
2077,71,centro-oeste,83329.00
2078,71,sul-sudeste,88835.00
2079,71,rs-com-ie,88835.00
2080,71,rs-sem-ie,88835.00
2081,70,norte-nordeste,70757.00
2082,70,centro-oeste,66480.00
2083,70,sul-sudeste,70757.00
2084,70,rs-com-ie,70757.00
2085,70,rs-sem-ie,70757.00
2086,70,comercio-exterior,60000.00
2087,3,norte-nordeste,66860.00
2088,3,centro-oeste,66860.00
2089,3,sul-sudeste,70827.00
2090,3,rs-com-ie,61832.00
2091,3,rs-sem-ie,68843.00
2092,1,norte-nordeste,64617.00
2093,1,centro-oeste,64617.00
2094,1,sul-sudeste,68451.00
2095,1,rs-com-ie,59757.00
2096,1,rs-sem-ie,66534.00
2102,7,norte-nordeste,75756.00
2103,7,centro-oeste,75756.00
2104,7,sul-sudeste,80250.00
2105,7,rs-com-ie,70058.00
2106,7,rs-sem-ie,78000.00
